source_type,platform,week_folder,week_number,user_folder,user_number,playlist_file,playlist_name,playlist_position,track_id,track_name,artist_name,popularity_metric,popularity_value,popularity_log10,percentile_within_original_distribution,ratio_to_original_median,log10_delta_from_original_median,captured_at_utc,video_or_track_type,metadata_error
recommended,spotify,Week3_04August,3,User2,2,experiment_results/Week3_04August/Spotify/User2/Week3_User2_spotify_metadata.csv,Week3_User2,2,4rW7HpxbunvRKn4rql3Kni,Zodd The Immortal,Beast In Black,spotify_artist_monthly_listeners,1265722,6.1023383,76.666667,43.634301,1.639828,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User2,2,experiment_results/Week3_04August/Spotify/User2/Week3_User2_spotify_metadata.csv,Week3_User2,3,7f1YVLsmmbmobjlt40VWrt,Midnight Blitz,TAILGUNNER,spotify_artist_monthly_listeners,28007,4.4472666,46.666667,0.96550892,-0.01524371,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User2,2,experiment_results/Week3_04August/Spotify/User2/Week3_User2_spotify_metadata.csv,Week3_User2,4,56wSCyYGzDAFSGYX7rq2Oi,First in Line,Sonata Arctica,spotify_artist_monthly_listeners,453572,5.6566462,66.666667,15.63637,1.1941359,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User2,2,experiment_results/Week3_04August/Spotify/User2/Week3_User2_spotify_metadata.csv,Week3_User2,5,6qopop1Rc9r1RjEIBQhc8d,Lightning Strike,Judas Priest,spotify_artist_monthly_listeners,4157721,6.6188553,93.333333,143.33262,2.156345,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User2,2,experiment_results/Week3_04August/Spotify/User2/Week3_User2_spotify_metadata.csv,Week3_User2,6,1BZ6VNjPOcf1ysNMARzirk,Night of the Werewolves,Powerwolf,spotify_artist_monthly_listeners,1133161,6.0542916,73.333333,39.064414,1.5917813,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User2,2,experiment_results/Week3_04August/Spotify/User2/Week3_User2_spotify_metadata.csv,Week3_User2,7,4nrVRhp2fGwY7MwINf9QLY,Chasing the Dragon,Dream Evil,spotify_artist_monthly_listeners,167000,5.2227165,60,5.7571318,0.76020617,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User2,2,experiment_results/Week3_04August/Spotify/User2/Week3_User2_spotify_metadata.csv,Week3_User2,8,57D4g0d78KP3t5nIuhZHCM,Dracula,Mystic Prophecy,spotify_artist_monthly_listeners,147629,5.1691717,60,5.089339,0.70666138,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User2,2,experiment_results/Week3_04August/Spotify/User2/Week3_User2_spotify_metadata.csv,Week3_User2,9,00npmhc8GChWQcovg8W6D5,Riding the Storm (Reworked version 2003) (2017 Remaster),Running Wild,spotify_artist_monthly_listeners,105505,5.023273,60,3.6371628,0.56076274,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User2,2,experiment_results/Week3_04August/Spotify/User2/Week3_User2_spotify_metadata.csv,Week3_User2,10,5LcdZwPKlC4CF8IGFs1ynd,Karma,Kamelot,spotify_artist_monthly_listeners,372111,5.5706725,66.666667,12.828096,1.1081622,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User2,2,experiment_results/Week3_04August/Spotify/User2/Week3_User2_spotify_metadata.csv,Week3_User2,11,6NckTLOMeZFE9sqx4EyisQ,Spirit Never Die,Masterplan,spotify_artist_monthly_listeners,175203,5.2435415,60,6.0399207,0.78103124,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User2,2,experiment_results/Week3_04August/Spotify/User2/Week3_User2_spotify_metadata.csv,Week3_User2,12,0Ot7wMcgFkhuz1dd0d2PMy,City of Heroes,Michael Kiske & Amanda Somerville,spotify_artist_monthly_listeners,25289,4.4029317,43.333333,0.87180901,-0.059578644,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User2,2,experiment_results/Week3_04August/Spotify/User2/Week3_User2_spotify_metadata.csv,Week3_User2,13,0rTFmaEAuD8YOQbWScjPwr,Valley of the Damned - Remastered 2009,DragonForce,spotify_artist_monthly_listeners,1781040,6.2506737,86.666667,61.399293,1.7881634,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User2,2,experiment_results/Week3_04August/Spotify/User2/Week3_User2_spotify_metadata.csv,Week3_User2,14,04YE7G41IJitByjtXZIvsh,Speed Of Light,Stratovarius,spotify_artist_monthly_listeners,846284,5.9275161,73.333333,29.174662,1.4650058,2026-08-04T18:37:42+00:00,track,
