candidate_id,artist,title,country,expected_year,style,youtube_artist_name,spotify_track_id,primary_artist_id,primary_artist_url,spotify_url,spotify_title,spotify_artists,spotify_album,spotify_release_date,spotify_isrc,spotify_duration_ms,spotify_api_popularity,validation_status,validation_notes,artist_monthly_listeners,artist_monthly_listeners_captured_at,artist_monthly_listeners_source,artist_monthly_listeners_fetch_error,stream_count,captured_at,source_note,stream_count_censored,spotify_metric,spotify_metric_value,spotify_percentile,spotify_tier,spotify_log10_popularity,spotify_magnitude_tier,spotify_magnitude_cluster_center,spotify_magnitude_distance_to_center
M036,Galneryus,Raise My Sword,Japan,2015,power metal,,5iwQQDLg0wRhQ3WHorms7t,3BNDjSD67jJE4fhxX1b2OV,https://open.spotify.com/artist/3BNDjSD67jJE4fhxX1b2OV,https://open.spotify.com/track/5iwQQDLg0wRhQ3WHorms7t,RAISE MY SWORD,GALNERYUS,UNDER THE FORCE OF COURAGE,2015-12-09,JPVP01513503,431080,,OK,,348223,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,348223,72.89,Buffer,5.541859,High,5.895970,0.354111
M037,Anthem,The Artery Song,Japan,2012,heavy metal,,1dtLV5i9OVqOP3xULBoTbh,67BObUWOkPPGftw3ITCHXH,https://open.spotify.com/artist/67BObUWOkPPGftw3ITCHXH,https://open.spotify.com/track/1dtLV5i9OVqOP3xULBoTbh,The Artery Song,ANTHEM,ENGRAVED,2017-06-21,JPPO01702804,226400,,OK,,19104,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,19104,43.98,Middle,4.281147,Middle,4.092167,0.188980
M038,Concerto Moon,Alone in Paradise,Japan,2017,power metal,,3Idf8blFXZHb9cDAh5GH69,06RLyuNu1DPwwvCxLvN476,https://open.spotify.com/artist/06RLyuNu1DPwwvCxLvN476,https://open.spotify.com/track/3Idf8blFXZHb9cDAh5GH69,ALONE IN PARADISE,CONCERTO MOON,OUROBOROS,2019-06-19,JPB621900487,279093,,OK,,2218,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,2218,15.06,Low,3.346157,Low,2.738456,0.607701
M039,Lords of Black,Merciless,Spain,2016,heavy metal,,0U3E8lPQrqWyludEEg4NiB,5PgEqen6HcezHZRU1PJO0Z,https://open.spotify.com/artist/5PgEqen6HcezHZRU1PJO0Z,https://open.spotify.com/track/0U3E8lPQrqWyludEEg4NiB,Merciless,Lords of Black,II,2016-03-18,ITG271600107,307842,,OK,,7989,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,7989,29.52,Buffer,3.902547,Middle,4.092167,0.189620
M040,WarCry,Huelo el Miedo,Spain,2011,power metal,,7nenmm7QWd8YI35zOMPFsX,3hMTlMf2UGZTeP6DSUUl09,https://open.spotify.com/artist/3hMTlMf2UGZTeP6DSUUl09,https://open.spotify.com/track/7nenmm7QWd8YI35zOMPFsX,Huelo el Miedo,Warcry,Inmortal,2013-09-09,uscgh1814404,309146,,OK,,264901,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,264901,68.07,Buffer,5.423085,High,5.895970,0.472885
M041,Firewind,World on Fire,Greece,2010,power metal,,73VDhH8TvIIIeps0RuqXaf,70I9vE7YTwKmelfEplXc5r,https://open.spotify.com/artist/70I9vE7YTwKmelfEplXc5r,https://open.spotify.com/track/73VDhH8TvIIIeps0RuqXaf,World On Fire,Firewind,Days Of Defiance,2010-10-25,US4E41067702,282426,,OK,,107557,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,107557,57.23,Middle,5.031643,High,5.895970,0.864327
M042,Warrior Path,The Mad King,Greece,2021,heavy metal,,2mYFDxuPVo9WPkx3yUUTbv,0Cse5LOTboj572fe5CliXj,https://open.spotify.com/artist/0Cse5LOTboj572fe5CliXj,https://open.spotify.com/track/2mYFDxuPVo9WPkx3yUUTbv,The Mad King,Warrior Path,The Mad King,2021-03-05,USCGJ2583715,299052,,OK,,3319,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,3319,18.67,Low,3.521138,Middle,4.092167,0.571029
M043,The Silent Rage,The Deadliest Scourge,Greece,2016,power metal,,16IMT20oKggrd6x4dPZQN5,6W8Ifl0HfzmHx6wZeuh3dy,https://open.spotify.com/artist/6W8Ifl0HfzmHx6wZeuh3dy,https://open.spotify.com/track/16IMT20oKggrd6x4dPZQN5,The Deadliest Scourge,The Silent Rage,The Deadliest Scourge,2016-07-01,usx9p2012437,223383,,OK,,105,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,105,0.60,Low,2.025306,Low,2.738456,0.713150
M044,Myrath,Believer,Tunisia,2016,power metal,,6zNWCirgbJ9nkwZlVeMY3T,72500XOYPw5e7OgFWuW2Gl,https://open.spotify.com/artist/72500XOYPw5e7OgFWuW2Gl,https://open.spotify.com/track/6zNWCirgbJ9nkwZlVeMY3T,Believer,Myrath,Legacy,2016-04-29,FR7Z81500235,272477,,OK,,82719,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,82719,56.02,Middle,4.917611,Middle,4.092167,0.825444
M045,Carthagods,The Devil's Doll,Tunisia,2015,heavy metal,,5aI2EF6gFKSdqW1bEHQFcb,0SdxZAc2eKSnWwhjHEC07W,https://open.spotify.com/artist/0SdxZAc2eKSnWwhjHEC07W,https://open.spotify.com/track/5aI2EF6gFKSdqW1bEHQFcb,The Devil's Doll,Carthagods,The Devil's Doll,2018-12-20,usl4r1823032,356807,,OK,,640,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,640,9.04,Low,2.806858,Low,2.738456,0.068402
