candidate_id,artist,title,spotify_track_id,primary_artist_id,primary_artist_url,spotify_url,spotify_isrc,stream_count,captured_at,source_note
M021,Bloodbound,Moria,5CtKdgmm86gjAETNUqDJHQ,6nf7iwR6AoROxfUKZWd1r6,https://open.spotify.com/artist/6nf7iwR6AoROxfUKZWd1r6,https://open.spotify.com/track/5CtKdgmm86gjAETNUqDJHQ,DEU601103271,,,Spotify desktop album page
M022,Dynazty,Heartless Madness,4QaxyJsbo5AR3bnEB7ko8h,5deRBvKxJssHVa9n6B7tWV,https://open.spotify.com/artist/5deRBvKxJssHVa9n6B7tWV,https://open.spotify.com/track/4QaxyJsbo5AR3bnEB7ko8h,DEU601908672,,,Spotify desktop album page
M023,Civil War,Rome Is Falling,6oYAAgSsy3A5167QZl6Zb5,6lGzC0JJCotCU9QZ2Lgi8T,https://open.spotify.com/artist/6lGzC0JJCotCU9QZ2Lgi8T,https://open.spotify.com/track/6oYAAgSsy3A5167QZl6Zb5,SEXTE1202101,,,Spotify desktop album page
M024,Brothers of Metal,Yggdrasil,3V417nSM4Ilh0Tt5CqustV,0WPCPYm5IDNtQjuJOGNPcy,https://open.spotify.com/artist/0WPCPYm5IDNtQjuJOGNPcy,https://open.spotify.com/track/3V417nSM4Ilh0Tt5CqustV,USCGJ1733170,,,Spotify desktop album page
M025,Beast in Black,Blind and Frozen,7iOSeHfKU2EhSKcX7TbjKG,0rEuaTPLMhlViNCJrg3NEH,https://open.spotify.com/artist/0rEuaTPLMhlViNCJrg3NEH,https://open.spotify.com/track/7iOSeHfKU2EhSKcX7TbjKG,DED831701293,,,Spotify desktop album page
M026,Stratovarius,Unbreakable,1IaQLINjiOCSv4INrrv0aS,1O8CSXsPwEqxcoBE360PPO,https://open.spotify.com/artist/1O8CSXsPwEqxcoBE360PPO,https://open.spotify.com/track/1IaQLINjiOCSv4INrrv0aS,DEH841201011,,,Spotify desktop album page
M027,Sonata Arctica,The Wolves Die Young,4gAxNZIyZqKSQCYcZ0YPXH,5YeoQ1L71cXDMpSpqxOjfH,https://open.spotify.com/artist/5YeoQ1L71cXDMpSpqxOjfH,https://open.spotify.com/track/4gAxNZIyZqKSQCYcZ0YPXH,DED831400050,,,Spotify desktop album page
M028,Turisas,Ten More Miles,4ynHiLrKPvpR0mzQVruU60,0ykT1si9XRFPmEvWOnf4YI,https://open.spotify.com/artist/0ykT1si9XRFPmEvWOnf4YI,https://open.spotify.com/track/4ynHiLrKPvpR0mzQVruU60,US4E41301802,,,Spotify desktop album page
M029,Rhapsody of Fire,Rain of Fury,7ACH45QQtgGPFzWJbiirXN,3IjLXN4eSksdGj8uDE4Jm1,https://open.spotify.com/artist/3IjLXN4eSksdGj8uDE4Jm1,https://open.spotify.com/track/7ACH45QQtgGPFzWJbiirXN,DEU601808008,,,Spotify desktop album page
M030,Wind Rose,Drunken Dwarves,4qxK1lnNoYm1kevG69mhHU,67ps5pbKVO7V9Fcb4lTIXz,https://open.spotify.com/artist/67ps5pbKVO7V9Fcb4lTIXz,https://open.spotify.com/track/4qxK1lnNoYm1kevG69mhHU,ATN261985903,,,Spotify desktop album page
M031,Trick or Treat,Rabbit's Hill,0LLz9aMUEkY9q3kBLXymEI,2mj5rXb8mYaRoF7oOHfgqI,https://open.spotify.com/artist/2mj5rXb8mYaRoF7oOHfgqI,https://open.spotify.com/track/0LLz9aMUEkY9q3kBLXymEI,DEQ121216760,,,Spotify desktop album page
M032,Vision Divine,Angel of Revenge,4ktpjpQSF5GeX03fzd06EJ,5L6lO4X5v3GJpTkBg1BdW2,https://open.spotify.com/artist/5L6lO4X5v3GJpTkBg1BdW2,https://open.spotify.com/track/4ktpjpQSF5GeX03fzd06EJ,DEAR41838004,,,Spotify desktop album page
M033,Angra,Black Hearted Soul,1QSYruiVW9PQhFkS2z41af,7IAXZaLTb6nkJr8RmVPn5y,https://open.spotify.com/artist/7IAXZaLTb6nkJr8RmVPn5y,https://open.spotify.com/track/1QSYruiVW9PQhFkS2z41af,BRPOQ1400002,,,Spotify desktop album page
M034,Shaman,Brand New Me,4O9EMs6XKGFLMMEqeHd0JQ,2THaGrUq7RPnj8Uax9zQ1m,https://open.spotify.com/artist/2THaGrUq7RPnj8Uax9zQ1m,https://open.spotify.com/track/4O9EMs6XKGFLMMEqeHd0JQ,BRHHU2200009,,,Spotify desktop album page
M035,Armored Dawn,Sail Away,71vODTU3y6KNJqPVauyST5,1oueQWyrcULGbpk0DyiqGf,https://open.spotify.com/artist/1oueQWyrcULGbpk0DyiqGf,https://open.spotify.com/track/71vODTU3y6KNJqPVauyST5,BXEFE1700007,,,Spotify desktop album page
M036,Galneryus,Raise My Sword,5iwQQDLg0wRhQ3WHorms7t,3BNDjSD67jJE4fhxX1b2OV,https://open.spotify.com/artist/3BNDjSD67jJE4fhxX1b2OV,https://open.spotify.com/track/5iwQQDLg0wRhQ3WHorms7t,JPVP01513503,,,Spotify desktop album page
M037,Anthem,The Artery Song,1dtLV5i9OVqOP3xULBoTbh,67BObUWOkPPGftw3ITCHXH,https://open.spotify.com/artist/67BObUWOkPPGftw3ITCHXH,https://open.spotify.com/track/1dtLV5i9OVqOP3xULBoTbh,JPPO01702804,,,Spotify desktop album page
M038,Concerto Moon,Alone in Paradise,3Idf8blFXZHb9cDAh5GH69,06RLyuNu1DPwwvCxLvN476,https://open.spotify.com/artist/06RLyuNu1DPwwvCxLvN476,https://open.spotify.com/track/3Idf8blFXZHb9cDAh5GH69,JPB621900487,,,Spotify desktop album page
M039,Lords of Black,Merciless,0U3E8lPQrqWyludEEg4NiB,5PgEqen6HcezHZRU1PJO0Z,https://open.spotify.com/artist/5PgEqen6HcezHZRU1PJO0Z,https://open.spotify.com/track/0U3E8lPQrqWyludEEg4NiB,ITG271600107,,,Spotify desktop album page
M040,WarCry,Huelo el Miedo,7nenmm7QWd8YI35zOMPFsX,3hMTlMf2UGZTeP6DSUUl09,https://open.spotify.com/artist/3hMTlMf2UGZTeP6DSUUl09,https://open.spotify.com/track/7nenmm7QWd8YI35zOMPFsX,uscgh1814404,,,Spotify desktop album page
M041,Firewind,World on Fire,73VDhH8TvIIIeps0RuqXaf,70I9vE7YTwKmelfEplXc5r,https://open.spotify.com/artist/70I9vE7YTwKmelfEplXc5r,https://open.spotify.com/track/73VDhH8TvIIIeps0RuqXaf,US4E41067702,,,Spotify desktop album page
M042,Warrior Path,The Mad King,2mYFDxuPVo9WPkx3yUUTbv,0Cse5LOTboj572fe5CliXj,https://open.spotify.com/artist/0Cse5LOTboj572fe5CliXj,https://open.spotify.com/track/2mYFDxuPVo9WPkx3yUUTbv,USCGJ2583715,,,Spotify desktop album page
M043,The Silent Rage,The Deadliest Scourge,16IMT20oKggrd6x4dPZQN5,6W8Ifl0HfzmHx6wZeuh3dy,https://open.spotify.com/artist/6W8Ifl0HfzmHx6wZeuh3dy,https://open.spotify.com/track/16IMT20oKggrd6x4dPZQN5,usx9p2012437,,,Spotify desktop album page
M044,Myrath,Believer,6zNWCirgbJ9nkwZlVeMY3T,72500XOYPw5e7OgFWuW2Gl,https://open.spotify.com/artist/72500XOYPw5e7OgFWuW2Gl,https://open.spotify.com/track/6zNWCirgbJ9nkwZlVeMY3T,FR7Z81500235,,,Spotify desktop album page
