platform,week_number,user_number,playlist_song_count,valid_popularity_count,missing_popularity_count,popularity_coverage,median_popularity,mean_popularity,geometric_mean_popularity,median_log10_plus1,median_log10_delta_vs_balanced,median_ratio_vs_balanced,median_original_pool_percentile,mean_original_pool_percentile,share_above_balanced_median,share_above_balanced_max,share_low_tier,share_buffer_tier,share_middle_tier,share_high_tier
YouTube,5,10,30,30,0,1.0,516631.0,4668197.433333334,640041.4190174879,5.712122117702396,0.8978745219704756,7.923803680981595,69.87951799999999,70.32128519999999,0.8666666666666667,0.13333333333333333,0.0,0.4,0.23333333333333334,0.36666666666666664
YouTube,6,1,30,30,0,1.0,795683.0,12967489.666666666,652260.4699121356,5.898004056621788,1.0837564608898682,12.203742331288344,72.891566,69.53815263333333,0.8,0.06666666666666667,0.06666666666666667,0.23333333333333334,0.23333333333333334,0.4666666666666667
YouTube,6,2,30,30,0,1.0,2181153.5,170389310.06666666,4188069.400301928,6.337889690746836,1.5236420950149157,33.45328987730061,81.325301,81.42570280000001,0.9666666666666667,0.3,0.0,0.16666666666666666,0.1,0.7333333333333333
YouTube,6,3,30,30,0,1.0,5739779.5,141776120.83333334,8952947.587764677,6.7561841390962485,1.9419365433643274,88.03344325153374,90.9638555,87.751004,1.0,0.3333333333333333,0.0,0.2,0.0,0.8
YouTube,6,4,30,30,0,1.0,1096590.0,33668032.166666664,1557559.304564948,6.035008989107507,1.2207613933755868,16.81888036809816,74.69879499999999,76.68674693333332,0.9333333333333333,0.13333333333333333,0.03333333333333333,0.3,0.16666666666666666,0.5
YouTube,6,5,30,30,0,1.0,629990.0,42829582.7,851422.2329802765,5.799308686257888,0.9850610905259676,9.662438650306749,71.686747,72.10843373333334,0.9333333333333333,0.1,0.03333333333333333,0.4666666666666667,0.16666666666666666,0.3333333333333333
YouTube,6,6,30,30,0,1.0,355041.5,1379171.6666666667,410553.82753259223,5.54300143044938,0.7287538347174598,5.445437116564417,66.86747,67.06827306666666,0.9333333333333333,0.0,0.03333333333333333,0.3333333333333333,0.36666666666666664,0.26666666666666666
YouTube,6,7,30,30,0,1.0,1321774.5,27611334.0,1648000.2699307352,6.120722321670442,1.306474725938521,20.27263036809816,77.10843349999999,77.811245,0.9666666666666667,0.1,0.0,0.26666666666666666,0.16666666666666666,0.5666666666666667
YouTube,6,8,30,30,0,1.0,2459845.0,9451405.133333333,2168165.8238691883,6.389331201353274,1.5750836056213537,37.72769938650307,82.5301205,80.20080319999998,1.0,0.26666666666666666,0.0,0.3333333333333333,0.13333333333333333,0.5333333333333333
YouTube,6,9,30,30,0,1.0,1972769.0,8288806.933333334,1763553.3662399035,6.292181354671533,1.4779337589396127,30.257208588957056,80.7228915,78.51405623333332,1.0,0.2,0.0,0.23333333333333334,0.2,0.5666666666666667
YouTube,6,10,30,30,0,1.0,6285555.5,258112046.16666666,10629603.359660143,6.796654580807479,1.9824069850755577,96.40424079754601,92.168675,86.4056225,1.0,0.36666666666666664,0.0,0.1,0.16666666666666666,0.7333333333333333
