source_type,playlist_kind,week_folder,week_number,platform,user_folder,user_number,playlist_name,track_count,tracks_with_popularity,min_popularity_value,median_popularity_value,mean_popularity_value,max_popularity_value,median_log10_popularity,mean_log10_popularity,median_log10_delta_vs_final_balanced,mean_log10_delta_vs_final_balanced,median_ratio_vs_final_balanced,median_baseline_empirical_percentile,mean_baseline_empirical_percentile,share_above_final_balanced_median,share_top_third_vs_final_balanced,share_above_final_balanced_max
recommended,weekly_recommendation,Week1_21July,1,Youtube,User9,9,Discover Mix,30,30,24661.0,2315115.0,9307880.7,49122828.0,6.3645371719381085,6.319338338260953,1.55031742401561,1.505118590338455,35.50844338103345,76.66666666666667,78.55555555555556,0.9666666666666667,0.6333333333333333,0.26666666666666666
recommended,weekly_recommendation,Week1_21July,1,Youtube,User10,10,Discover Mix,30,30,82199.0,3491789.5,147399997.26666668,1750559331.0,6.540143079532527,6.75120687629582,1.7259233316100278,1.9369871283733213,53.55587509010874,76.66666666666667,81.8888888888889,1.0,0.7333333333333333,0.3333333333333333
recommended,weekly_recommendation,Week2_28July,2,Youtube,User1,1,Discover Mix,30,30,22033.0,616987.0,7966095.6,91388909.0,5.788079274417683,5.9552861677054345,0.9738595264951848,1.1410664197829354,9.463135937667756,66.66666666666667,71.0,0.9666666666666667,0.36666666666666664,0.1
recommended,weekly_recommendation,Week2_28July,2,Youtube,User2,2,Discover Mix,30,30,15659.0,258302.5,2698393.033333333,26164318.0,5.411926294884778,5.6237214123137615,0.5977065469622795,0.8095016643912629,3.9617555483979814,66.66666666666667,65.66666666666667,0.9,0.26666666666666666,0.06666666666666667
recommended,weekly_recommendation,Week2_28July,2,Youtube,User3,3,Discover Mix,30,30,89805.0,1823070.0,6861423.966666667,36779569.0,6.260291273468839,6.22001822043848,1.446071525546341,1.405798472515984,27.96162517830028,76.66666666666667,77.2222222222222,1.0,0.5333333333333333,0.16666666666666666
recommended,weekly_recommendation,Week2_28July,2,Youtube,User4,4,Discover Mix,30,30,162.0,322919.5,2459839.433333333,26164318.0,5.50348885279274,5.39940717080158,0.6892691048702413,0.58518742287908,4.952829031120109,66.66666666666667,60.666666666666664,0.7666666666666667,0.26666666666666666,0.03333333333333333
recommended,weekly_recommendation,Week2_28July,2,Youtube,User5,5,Discover Mix,30,30,21232.0,368867.5,1130617.3333333333,16710866.0,5.566820311384182,5.548086480403857,0.7526005634616832,0.7338667324813579,5.657563766315434,66.66666666666667,63.00000000000001,0.8333333333333334,0.2,0.03333333333333333
recommended,weekly_recommendation,Week2_28July,2,Youtube,User6,6,Discover Mix,30,30,26915.0,941299.0,3832295.033333333,36779570.0,5.973645050340586,5.920215228532083,1.1594253024180876,1.105995480609585,14.43732265832298,66.66666666666667,70.0,0.9,0.4,0.1
recommended,weekly_recommendation,Week2_28July,2,Youtube,User7,7,Discover Mix,30,30,9245.0,10169530.0,154521207.4,1752841683.0,7.007057306720178,7.138937435329355,2.192837558797679,2.3247176874068556,155.97677878495068,93.33333333333333,88.55555555555557,0.9666666666666667,0.9333333333333333,0.4666666666666667
recommended,weekly_recommendation,Week2_28July,2,Youtube,User8,8,Discover Mix,30,30,15857.0,600664.5,44252693.06666667,1202037008.0,5.778629544691318,5.938123587689807,0.9644097967688192,1.1239038397673078,9.212787005935674,66.66666666666667,69.44444444444444,0.9,0.36666666666666664,0.1
recommended,weekly_recommendation,Week2_28July,2,Youtube,User9,9,Discover Mix,30,30,1732.0,1651460.0,8752334.566666666,68906311.0,6.217461897325785,6.101398310305194,1.4032421494032867,1.287178562382695,25.32952959401218,75.0,74.33333333333333,0.9333333333333333,0.5333333333333333,0.2
recommended,weekly_recommendation,Week2_28July,2,Youtube,User10,10,Discover Mix,30,30,46031.0,2135676.5,158590431.0,1752841683.0,6.327130964511625,6.666629362198422,1.512911216589126,1.8524096142759239,32.75627693676283,76.66666666666667,78.88888888888889,0.9666666666666667,0.6666666666666666,0.26666666666666666
