candidate_id,artist,title,country,expected_year,style,youtube_artist_name,youtube_video_id,youtube_url,youtube_title,youtube_artists,youtube_album,youtube_album_year,youtube_video_type,view_count,like_count,comment_count,published_at,data_source,captured_at_utc,validation_status,validation_notes,youtube_percentile,youtube_tier
M061,Iron Mask,Tree of the World,Belgium,2020,power metal,,5jU4FOgki9A,https://music.youtube.com/watch?v=5jU4FOgki9A,Tree of the World,Iron Mask,Tree of the World,2020,MUSIC_VIDEO_TYPE_ATV,21680,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,40.36,Middle
M062,Fireforce,Combat Metal,Belgium,2014,heavy metal,,zip1C800tdU,https://music.youtube.com/watch?v=zip1C800tdU,Combat Metal,Fireforce,Deathbringer,2014,MUSIC_VIDEO_TYPE_ATV,23220,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,42.77,Middle
M063,Existance,Heavy Metal Fury,France,2016,heavy metal,,shgtfhEoY1c,https://music.youtube.com/watch?v=shgtfhEoY1c,Heavy Metal Fury,Existance,Breaking the Rock,2016,MUSIC_VIDEO_TYPE_ATV,7556,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,25.90,Buffer
M064,Sortilège,Messager - 2021,France,2021,heavy metal,,mbrjS9BqzGw,https://music.youtube.com/watch?v=mbrjS9BqzGw,Messager (2021),Sortilège,Phoenix,2021,MUSIC_VIDEO_TYPE_ATV,4487,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,21.08,Low
M065,Attick Demons,City of Golden Gates,Portugal,2016,heavy metal,,DAV2A8R2x1w,https://music.youtube.com/watch?v=DAV2A8R2x1w,City of Golden Gates,Attick Demons,Atlantis,2020,MUSIC_VIDEO_TYPE_ATV,2445,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,17.47,Low
M066,Trooper,Destin,Romania,2013,heavy metal,,xe7dw6pDpRM,https://music.youtube.com/watch?v=xe7dw6pDpRM,Destin,Trooper,Stefan cel Mare - Poemele Moldovei,2018,MUSIC_VIDEO_TYPE_ATV,343913,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,65.66,Buffer
M067,Pentagram,Geçmişin Yükü,Turkey,2012,heavy metal,,Smk-Vsb9AOk,https://music.youtube.com/watch?v=Smk-Vsb9AOk,Geçmişin Yükü,Pentagram,MMXII,2012,MUSIC_VIDEO_TYPE_ATV,1223810,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,75.30,High
M068,Aria,Точка невозврата,Russia,2014,heavy metal,Ария,F3fQrLiWLZI,https://music.youtube.com/watch?v=F3fQrLiWLZI,Точка невозврата,Ария,30,2015,MUSIC_VIDEO_TYPE_ATV,119676,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,54.82,Middle
M069,Epidemia,Выбор есть!,Russia,2018,power metal,Эпидемия,0Wfw-sz6gFY,https://music.youtube.com/watch?v=0Wfw-sz6gFY,Выбор есть!,Эпидемия,Легенда Ксентарона,2018,MUSIC_VIDEO_TYPE_ATV,528751,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,69.28,Buffer
M070,Sunrise,Tower of Fear,Ukraine,2016,power metal,,nI_KthrRDPI,https://music.youtube.com/watch?v=nI_KthrRDPI,Tower of Fear,Sunrise,Absolute Clarity,2016,MUSIC_VIDEO_TYPE_ATV,6895,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,23.49,Low
M071,Agora,En la Nada,Mexico,2011,heavy metal,,noYU7HVpjZo,https://music.youtube.com/watch?v=noYU7HVpjZo,En la Nada,Agora,Regresa al Vértigo,2011,MUSIC_VIDEO_TYPE_ATV,13043,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,30.72,Buffer
M072,Helker,Fight,Argentina,2013,heavy metal,,_tSvA01hUb8,https://music.youtube.com/watch?v=_tSvA01hUb8,Fight,Helker,Fight,2017,MUSIC_VIDEO_TYPE_ATV,1507,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,11.45,Low
M073,Deadline,Bloodbeast,South Africa,2022,heavy metal,,HjVLy81Pek0,https://music.youtube.com/watch?v=HjVLy81Pek0,Bloodbeast,Deadline,Black Wolf City,2017,MUSIC_VIDEO_TYPE_ATV,435,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,4.22,Low
M074,Skinflint,Flesh Potion,Botswana,2022,heavy metal,,Lm9xUURZJ6k,https://music.youtube.com/watch?v=Lm9xUURZJ6k,Flesh Potion,Skinflint,Adze,2022,MUSIC_VIDEO_TYPE_ATV,863,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,7.83,Low
M075,Arka'n Asrafokor,Awala,Togo,2019,heavy metal,ARKA'N,Jul7AnCFwFs,https://music.youtube.com/watch?v=Jul7AnCFwFs,Awala,ARKA'N,Zã Keli,2019,MUSIC_VIDEO_TYPE_ATV,16813,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,35.54,Buffer
M076,Emerald,Digital Slavery,Switzerland,2012,heavy metal,,-Qz9Af0Gcmg,https://music.youtube.com/watch?v=-Qz9Af0Gcmg,Digital Slavery,Emerald,Digital Slavery,2019,MUSIC_VIDEO_TYPE_ATV,150,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,1.81,Low
M077,Dragony,If It Bleeds We Can Kill It,Austria,2017,power metal,,KNNgWU4kXp8,https://music.youtube.com/watch?v=KNNgWU4kXp8,If It Bleeds We Can Kill It,Dragony,Masters of the Multiverse,2018,MUSIC_VIDEO_TYPE_ATV,49427,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,50.00,Middle
M079,Power Paladin,Kraven the Hunter,Iceland,2022,power metal,,nHw9x3tDICA,https://music.youtube.com/watch?v=nHw9x3tDICA,Kraven the Hunter,Power Paladin,With the Magic of Windfyre Steel,2022,MUSIC_VIDEO_TYPE_ATV,8606,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,27.11,Buffer
M080,Arrayan Path,Stigmata,Cyprus,2018,power metal,,CxTRjHDxL4w,https://music.youtube.com/watch?v=CxTRjHDxL4w,Stigmata,Arrayan Path,IV: Stigmata,2013,MUSIC_VIDEO_TYPE_ATV,1955,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,15.06,Low
M081,Eagleheart,Reverse,Czech Republic,2017,power metal,,U20b7be3zO8,https://music.youtube.com/watch?v=U20b7be3zO8,Reverse,Eagleheart,Reverse,2017,MUSIC_VIDEO_TYPE_ATV,1241,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,9.04,Low
M082,Within Silence,Children of Light,Slovakia,2015,power metal,,so1rqF8ERoE,https://music.youtube.com/watch?v=so1rqF8ERoE,Children of Light,Within Silence,Return from the Shadows,2017,MUSIC_VIDEO_TYPE_ATV,15292,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,33.13,Buffer
M083,Wisdom,Ravens' Night,Hungary,2016,power metal,,qTqbnvOP_uY,https://music.youtube.com/watch?v=qTqbnvOP_uY,Ravens' Night,Wisdom,Rise of the Wise,2016,MUSIC_VIDEO_TYPE_ATV,122215,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,56.02,Middle
M084,Exlibris,Hellphoria,Poland,2013,power metal,,IVSlnryCW7s,https://music.youtube.com/watch?v=IVSlnryCW7s,Hellphoria,Exlibris,Humagination,2016,MUSIC_VIDEO_TYPE_ATV,1423,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,10.24,Low
